Work center1,Order,Material,Sales Order,Order Type,Description,MRP controller,Target quantity,Confirm.yield1,Balance1,Stor. Location,Bas. start date,Basic fin. date,System Status
B04MW238,1961529,3011416400,,ZP01,TANK OUTSIDE TRANSPARENT N.C NAS21,M43,"2,000.000",0.000,"2,000.000",WF01,01/20/2022,01/24/2022,REL  PRC  BCRQ MACM SETC
B04ME220,1964253,3011460000,,ZP01,CARTER HSG R BLACK 9225,M43,"1,053.000",0.000,"1,053.000",WF99,01/20/2022,01/24/2022,REL  PRC  CSER BCRQ MACM SETC
B04ME109,1957977,3011521400,,ZP01,CHASSIS BLACK GRIVORY,M50,"5,400.000","5,400.000",0.000,WF99,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME108,1941921,3011650000,,ZP01,CLAMP PLATE BLACK 9781 FC1150L,M50,"5,500.000","5,500.000",0.000,WF99,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME220,1962053,3011659400,,ZP01,HSG DRAWER VDI 3400 REF.24 (CHIMEI),M43,"1,800.000","1,800.000",0.000,WF01,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-NM5,1968339,7070226000,1300084537,ZP01,9770 DL NOR230V BLK&GREY(EDG155.BG)LIGHT,M47,"1,704.000","1,704.000",0.000,WA99,01/20/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS MANC*
BW01-NM4,1968341,7070226000,1300084537,ZP01,9770 DL NOR230V BLK&GREY(EDG155.BG)LIGHT,M47,"1,704.000","1,704.000",0.000,WA99,01/20/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS MANC*
BW01-NM1,1968342,7070226000,1300084537,ZP01,9770 DL NOR230V BLK&GREY(EDG155.BG)LIGHT,M47,"1,704.000","1,704.000",0.000,WA99,01/20/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS MANC*
BW01-NS1,1962299,7070299800,1300085586,ZP01,9639 JP SHIGA 5 BUTTON 0.8L RED,M47,"1,168.000","1,168.000",0.000,WA99,01/20/2022,01/25/2022,REL  MSPT CNF  DLV  PRC  CSER GMPS SETC
BW01-IHL,1970636,8090704105,,ZP01,MASTER CTN LABEL EEU KP123B31 BATAM,M47,110.000,110.000,0.000,WA00,01/20/2022,01/21/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-IHL,1963537,8090837800,,ZP01,MASTER CTN LBL MLNX BLACK PV1A0858,M47,470.000,470.000,0.000,WA00,01/20/2022,01/21/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-IHL,1970727,8090837800,,ZP01,MASTER CTN LBL MLNX BLACK PV1A0858,M47,891.000,891.000,0.000,WA00,01/20/2022,01/21/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-IHL,1970731,8090837800,,ZP01,MASTER CTN LBL MLNX BLACK PV1A0858,M47,709.000,709.000,0.000,WA00,01/20/2022,01/21/2022,REL  CNF  DLV  PRC  BCRQ GMPS MANC SETC
BW01-IHL,1969501,8090852500,,ZP01,MASTER CTN LBL DL EDG110.WB 0132180869,M47,"1,087.000","1,087.000",0.000,WA00,01/20/2022,01/21/2022,REL  CNF  DLV  PRC  BCRQ GMPS MANC SETC
BW01-UW,1963977,9110105901,,ZP01,ASS'Y WATER TANK L125 FOR SP,M43,"3,000.000",0.000,"3,000.000",WF99,01/20/2022,01/24/2022,REL  MSPT PRC  BCRQ SETC
BW01-UW,1956075,9110375700,,ZP01,ASSY COFFEE BOX SHIGA,M43,540.000,540.000,0.000,WF99,01/20/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW03-TP,1955985,9170580200,,ZP01,HSG DRAWER WITH LOGO PRINTING (CHIMEI),M43,"2,200.000","2,200.000",0.000,WD99,01/20/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW04-DC4,1958362,9350018400,,ZP01,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"6,100.000","6,100.000",0.000,WE99,01/20/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
B04MT450,1954881,0310103100,,ZP01,HSG SET LEFT & RIGHT 9781 JOY - WHITE,M50,"1,400.000","1,400.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04MT450,1958684,0310103400,,ZP01,HSG SET LEFT & RIGHT 9781 RIO - WHITE,M50,"1,400.000","1,400.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04MT450,1952096,0310103700,,ZP01,HSG SET LEFT & RIGHT 9781 JOY - BLACK,M50,"2,800.000","2,800.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04-MD01,1955107,0310103800,,ZP01,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,M50,"15,600.000","15,600.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME109,1964140,3010018600,,ZP01,HANDLE FOR PACKING (NEW) N.C,M50,"24,000.000","24,000.000",0.000,WF99,01/21/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
B04-MD01,1963103,3010811900,,ZP01,BLOCK SHAFT N.C,M50,"12,000.000","12,000.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME105,1955042,3011228500,,ZP01,SHUTTER GUIDE BLK NCS S 9000-N,M50,"5,500.000","5,500.000",0.000,WF99,01/21/2022,01/24/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
B04ME109,1954761,3011229700,,ZP01,CHASSIS BLACK 9205,M50,"5,400.000","5,400.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  CSER BCRQ GMPS MACM*
B04ME105,1962030,3011230000,,ZP01,VALVE TOP V2 N.C,M50,"16,400.000","16,400.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  CSER BCRQ GMPS MACM*
B04ME108,1956405,3011230300,,ZP01,WATER CONNECTOR PART N.C,M43,"6,600.000","6,600.000",0.000,WF99,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04ME111,1965890,3011230600,,ZP01,CAPSULE HOLDER MAIN PART NCS S 2502-B,M43,"4,400.000","4,400.000",0.000,WF01,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04-MD01,1959333,3011231000,,ZP01,GEAR WHEEL BLACK  PIN,M50,"4,700.000","2,380.000","2,320.000",WF99,01/21/2022,01/24/2022,REL  PCNF PRC  BCRQ GMPS MACM PDLV SETC
B04ME109,1961092,3011257800,,ZP01,VALVE TILT PART RAL9005 BLACK,M50,"12,200.000","12,200.000",0.000,WD01,01/21/2022,01/24/2022,REL  CNF  DLV  PRC  BCRQ GMPS MANC SETC
