Work center1,Order,Material,Sales Order,Order Type,Description,MRP controller,Target quantity,Confirm.yield1,Balance1,Stor. Location,Bas. start date,Basic fin. date,System Status
,381038055,3011251100,,LA,DU DISC UPPER BLACK PBT S2,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381030083,3011251201,,LA,DU AXIS BLACK PBT S2,M49,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381038264,3011251301,,LA,DU WASHER BLACK PBT S2,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381011514,3011256900,,LA,HEAD HSG FRONT GLOSSY WHITE WIK392,M50,488.000,0.000,0.000,,09/13/2022,09/14/2022,
,381020637,3011257700,,LA,HMI COVER BACK RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,09/13/2022,09/14/2022,
,381030648,3011257800,,LA,VALVE TILT PART RAL9005 BLACK,M50,"11,079.000",0.000,0.000,,09/13/2022,09/14/2022,
,381011766,3011257900,,LA,CAPSULE HOLDER MAIN PART RAL9005 BK,M49,"11,079.000",0.000,0.000,,09/13/2022,09/14/2022,
,381021009,3011258100,,LA,DRIP GRID BLACK RAL 9005,M50,"1,494.000",0.000,0.000,,09/13/2022,09/14/2022,
,381021252,3011259700,,LA,HMI COVER FRONT PIANO BLACK WIK329,M50,705.000,0.000,0.000,,09/13/2022,09/14/2022,
,381021337,3011260000,,LA,DRIP GRID BLACK RAL 9005,M50,"3,769.000",0.000,0.000,,09/13/2022,09/14/2022,
,381012586,3011260400,,LA,HMI COVER BACK NCS S 1580-Y90R RED,M50,488.000,0.000,0.000,,09/13/2022,09/14/2022,
,381012780,3011276000,,LA,VALVE TOP N.C,M50,"4,280.000",0.000,0.000,,09/13/2022,09/14/2022,
,381031061,3011352901,,LA,F-CONNECTOR N.C.,M49,"6,988.000",0.000,0.000,,09/13/2022,09/14/2022,
,381039039,3011354300,,LA,PUMP OUTLET FOR D/U PUMP N.C,M49,"6,988.000",0.000,0.000,,09/13/2022,09/14/2022,
,381038469,3011368500,,LA,NOZZLE HOLDER BLACK,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381038676,3011368600,,LA,L-CONNECTOR TAMA,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381031487,3011394100,,LA,FILTER N.C.,M49,"4,280.000",0.000,0.000,,09/13/2022,09/14/2022,
,381021579,3011404100,,LA,HSG BACK V2 BLACK NCS S 9000-N IND.E,M50,544.000,0.000,0.000,,09/13/2022,09/14/2022,
,381035858,3011404200,,LA,HSG BOTTOM BLACK NCS S 9000-N,M50,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381031740,3011404400,,LA,DOUBLE CONNECTOR 90,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381036066,3011404800,,LA,SLIDER BLACK PA66 W/O GF,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381031835,3011405100,,LA,SHIGA PROTECTOR WIK 417,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381031943,3011405300,,LA,VALVE LOWER LEVER,M50,544.000,0.000,0.000,,09/13/2022,09/14/2022,
,381032034,3011405400,,LA,VALVE UPPER LEVER,M50,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381032146,3011405500,,LA,Frame support valve,M50,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381036277,3011406300,,LA,HSG CAP TRANSPARENT,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381032245,3011406700,,LA,Coffee Box Top SHIGA TRANSPARENT,M49,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381032350,3011406800,,LA,Coffee Box Bottom SHIGA TRANSPARENT,M49,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381032552,3011407100,,LA,WATER TANK BACK TRANSPARENT,M49,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381032648,3011407200,,LA,WATER TANK FRONT TRANSPARENT,M49,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381032757,3011407500,,LA,MIX CHAMBER GRIP SHIGA BLACK,M49,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381032959,3011410200,,LA,DU HSG PBT SHIGA WHITE,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381036521,3011411101,,LA,NEW RINSING TOOL N.C,M50,"6,988.000",0.000,0.000,,09/13/2022,09/14/2022,
,381039440,3011414800,,LA,SEALING SUPPORT NATURAL PP,M49,"19,657.000",0.000,0.000,,09/13/2022,09/14/2022,
,381033188,3011415500,,LA,TANK OUTSIDE TRANSPARENT N.C NAS21,M49,"11,079.000",0.000,0.000,,09/13/2022,09/14/2022,
,381021808,3011415600,,LA,TANK INSIDE TRANSPARENT N.C NAS21,M49,"11,079.000",0.000,0.000,,09/13/2022,09/14/2022,
,381033573,3011423400,,LA,DU DISC LOWER Green PBT SHIGA Pelletize,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381033673,3011427000,,LA,Drip grid black Shiga,M50,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381022250,3011517303,,LA,Back Housing ECR L,M50,"4,280.000",0.000,0.000,,09/13/2022,09/14/2022,
,381033925,3011521300,,LA,THERMOBLOCK SUPPORT NCS S 9000-N,M50,"6,420.000",0.000,0.000,,09/13/2022,09/14/2022,
,381013272,3011521400,,LA,CHASSIS BLACK GRIVORY,M50,"4,278.000",0.000,0.000,,09/13/2022,09/14/2022,
,381013578,3011521500,,LA,ROCKER LEVER V2 BLACK 9205,M50,"4,280.000",0.000,0.000,,09/13/2022,09/14/2022,
,381022545,3011521700,,LA,VALVE TILT BLACK,M50,"8,664.000",0.000,0.000,,09/13/2022,09/14/2022,
,381022824,3011521800,,LA,CLAMP HANDLE BLACK RAL 9005,M50,"2,163.000",0.000,0.000,,09/13/2022,09/14/2022,
,381014117,3011522000,,LA,Tank lid TRANSPARENT,M49,"4,280.000",0.000,0.000,,09/13/2022,09/14/2022,
,381014667,3011553200,,LA,Thermoblock pillar 9781 ARIEL,M50,"4,280.000",0.000,0.000,,09/13/2022,09/14/2022,
,381024821,3011645900,,LA,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"2,790.000",0.000,0.000,,09/13/2022,09/14/2022,
,381025238,3011646000,,LA,LEVER TOP BLACK SOLVAY 1150L,M50,"7,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381016442,3011646300,,LA,LEVER BOTTOM BLACK SOLVAY FC1150L,M50,"14,394.000",0.000,0.000,,09/13/2022,09/14/2022,
,381016879,3011646400,,LA,ROCKER LEVER BLACK SOLVAY 1150L,M50,"2,790.000",0.000,0.000,,09/13/2022,09/14/2022,
,381025686,3011650000,,LA,CLAMP PLATE BLACK 9781 FC1150L,M50,"4,278.000",0.000,0.000,,09/13/2022,09/14/2022,
,381025835,3011659400,,LA,HSG DRAWER VDI 3400 REF.24 (CHIMEI),M49,"1,212.000",0.000,0.000,,09/13/2022,09/14/2022,
,381036897,3011659500,,LA,WATER TANK COVER CHIMEI,M49,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381017493,3011675500,,LA,9781 Light Guide A Transparent SMMA NAS2,M50,"4,409.000",0.000,0.000,,09/13/2022,09/14/2022,
,381001841,7070223900,,VP,9770KRUPS WE230V GREY&BLK(KP123B10)LIGHT,M47,"2,220.000",0.000,0.000,,09/13/2022,09/14/2022,
,381001211,7070275900,,VP,9781 DL EU 230V WHITE&LAGOON EDG210.W,M47,"2,055.000",0.000,0.000,,09/13/2022,09/14/2022,
,381001644,7070276100,,VP,9781 DL EU 230V BLACK&NESC RED EDG210.B,M47,84.000,0.000,0.000,,09/13/2022,09/14/2022,
,381001224,7070284500,,VP,9770 NDG JP 100V BLACK & ANTHR LIGHT,M47,"2,220.000",0.000,0.000,,09/13/2022,09/14/2022,
,381002076,7070296300,,VP,9781 KRUPS WE 230V BLACK&ANTH KP1A3B10,M47,"2,140.000",0.000,0.000,,09/13/2022,09/14/2022,
,381002453,7070296500,,VP,9781 DL UK 230V WHITE&BLACK EDG110.WB,M47,"2,140.000",0.000,0.000,,09/13/2022,09/14/2022,
,381002428,7070299900,,VP,9639 JP SHIGA 5 BUTTON 0.8L PREMIUM RED,M47,"1,200.000",0.000,0.000,,09/13/2022,09/14/2022,
,381017770,8090704103,,LA,MASTER CTN LABEL WEU KP123B10 BATAM,M47,"1,110.000",0.000,0.000,,09/13/2022,09/14/2022,
,381018109,8090851100,,LA,MASTER CTN LBL KRUPS WE KP1A3B10,M47,"1,070.000",0.000,0.000,,09/13/2022,09/13/2022,
,381004902,9110245401,,LA,ASS'Y FLOWMETER,M49,"2,708.000",0.000,0.000,,09/13/2022,09/14/2022,
,381006410,9110245600,,LA,ASS'Y WATER TANK,M49,"2,708.000",0.000,0.000,,09/13/2022,09/14/2022,
,381006667,9110256500,,LA,ASS'Y CAPSULE HOLDER ARCTIC GREY,M49,488.000,0.000,0.000,,09/13/2022,09/14/2022,
,381006914,9110261400,,LA,ASS'Y CAPSULE HOLDER RAL9005 BK,M49,"2,220.000",0.000,0.000,,09/13/2022,09/14/2022,
,381007736,9110261901,,LA,ASS'Y DRIP TRAY KP123* ARCTIC GREY&BLACK,M50,"15,540.000",0.000,0.000,,09/13/2022,09/14/2022,
,381007883,9110264900,,LA,ASS'Y DRIP TRAY FOR EDG305.WR,M50,"2,688.000",0.000,0.000,,09/13/2022,09/14/2022,
,381008073,9110375600,,LA,ASSY DRIP TRAY SHIGA,M50,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381008264,9110375700,,LA,ASSY COFFEE BOX SHIGA,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381008463,9110375900,,LA,ASSY WATER TANK Shiga 0.8L,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381034063,9110377800,,LA,BACK PRESSURE VALVE ASSY SHIGA,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381003617,9110481900,,LA,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"2,220.000",0.000,0.000,,09/13/2022,09/13/2022,
,381005814,9110486800,,LA,ASS'Y THERMOBLOCK 230V,M47,"6,419.000",0.000,0.000,,09/13/2022,09/13/2022,
,381006125,9110487100,,LA,ASS'Y HEAD 9781 BATAM,M47,"6,419.000",0.000,0.000,,09/13/2022,09/13/2022,
,381007623,9110487500,,LA,ASS'Y WATER TANK ARIEL,M49,"4,280.000",0.000,0.000,,09/13/2022,09/14/2022,
,381009328,9110514600,,LA,Assy. Mixing Chamber Grip and V2,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381003402,9110546500,,LA,9770 ASS'Y THERMOBLOCK 100V 1400W,M47,"2,220.000",0.000,0.000,,09/13/2022,09/13/2022,
,381004019,9110574700,,LA,9770 ASS'Y HEAD W VLV TILT BLK CEN WEU,M47,"2,220.000",0.000,0.000,,09/13/2022,09/13/2022,
,381005376,9110574900,,LA,9770 ASS'Y HEAD W/ VALVE TILT BLACK CEN,M47,"2,220.000",0.000,0.000,,09/13/2022,09/13/2022,
,381009670,9110592900,,LA,PULP TRAY TOP & BOTTOM SET JOY,M47,"2,140.000",0.000,0.000,,09/13/2022,09/14/2022,
,381010360,9110599600,,LA,PULP TRAY TOP & BOTTOM SET RIO,M47,"2,783.000",0.000,0.000,,09/13/2022,09/14/2022,
,381011043,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"4,195.000",0.000,0.000,,09/13/2022,09/14/2022,
,381012047,9170439400,,LA,VALVE TILT PART PRINTED,M49,488.000,0.000,0.000,,09/13/2022,09/14/2022,
,381012266,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,09/13/2022,09/14/2022,
,381026677,9170447700,,LA,VALVE TILT PART RAL9005 PRINTED,M49,"2,220.000",0.000,0.000,,09/13/2022,09/14/2022,
,381012988,9170448701,,LA,HMI COVER FRONT WHITE PRINTED WIK419 NEW,M49,488.000,0.000,0.000,,09/13/2022,09/14/2022,
,381013410,9170513700,,LA,Shiga DU AXIS WITH ARROW PRINTING,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381013847,9170537100,,LA,VALVE TILT PART BLACK PRINTED,M49,"4,323.000",0.000,0.000,,09/13/2022,09/14/2022,
,381008530,9170540300,,LA,CLAMP HANDLE WHITE Printed Lagoon,M49,"2,140.000",0.000,0.000,,09/13/2022,09/14/2022,
,381014371,9170557700,,LA,CLAMP HANDLE BLACK Printed Anthracite,M49,"2,162.000",0.000,0.000,,09/13/2022,09/14/2022,
,381014806,9170580200,,LA,HSG DRAWER WITH LOGO PRINTING (CHIMEI),M49,534.000,0.000,0.000,,09/13/2022,09/14/2022,
,381037116,9340011100,,LA,MESH OVERMOULD,M49,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381034375,9350008000,,LA,THERMOBLOCK 230V/1400W,M50,"2,708.000",0.000,0.000,,09/13/2022,09/14/2022,
,381027202,9350013300,,LA,THERMOBLOCK 100V 1400W W/QRT HEATER,M50,528.000,0.000,0.000,,09/13/2022,09/14/2022,
,381027990,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,09/13/2022,09/14/2022,
,381027991,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,536.000",0.000,0.000,,09/13/2022,09/14/2022,
,381027992,9350018400,,LA,9781 THERMOBLOCK 230V/1400W ARIEL 9781,M50,"1,208.000",0.000,0.000,,09/13/2022,09/14/2022,
,381002721,0310103400,,LA,HSG SET LEFT & RIGHT 9781 RIO - WHITE,M50,"2,139.000",0.000,0.000,,09/14/2022,09/15/2022,
,381002872,0310103700,,LA,HSG SET LEFT & RIGHT 9781 JOY - BLACK,M50,"2,205.000",0.000,0.000,,09/14/2022,09/15/2022,
,381008931,0310103800,,LA,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,M50,"8,700.000",0.000,0.000,,09/14/2022,09/15/2022,
,381035059,3010018600,,LA,HANDLE FOR PACKING (NEW) N.C,M50,"5,620.000",0.000,0.000,,09/14/2022,09/15/2022,
,381037372,3010442800,,LA,VALVE LEVER N.C.,M50,"19,800.000",0.000,0.000,,09/14/2022,09/15/2022,
,381035333,3010473201,,LA,CON ROD BLACK with Rib,M50,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381037801,3010811900,,LA,BLOCK SHAFT N.C,M50,"4,280.000",0.000,0.000,,09/14/2022,09/15/2022,
,381018491,3010907401,,LA,FILTER MINI N.C.,M49,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381039684,3011038100,,LA,DU PIN BLACK,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381035426,3011038400,,LA,SCREW SLEEVE N.C.,M50,"2,472.000",0.000,0.000,,09/14/2022,09/15/2022,
,381028521,3011199100,,LA,SPRING SUPPORT TOP 3,M50,"5,620.000",0.000,0.000,,09/14/2022,09/15/2022,
,381003179,3011228500,,LA,SHUTTER GUIDE BLK NCS S 9000-N,M50,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381009979,3011228600,,LA,FIXATION PUMP NCS S 9000 N,M50,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381018936,3011229000,,LA,HMI MAIN PART BLACK NCS S9000-N,M50,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381028932,3011229500,,LA,HARD BUTTON GLOSSY RAL 9005 BLACK,M50,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381029282,3011229600,,LA,PLUNGER N.C,M50,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381010625,3011229700,,LA,CHASSIS BLACK 9205,M50,"4,419.000",0.000,0.000,,09/14/2022,09/15/2022,
,381019366,3011230000,,LA,VALVE TOP V2 N.C,M50,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381029714,3011230100,,LA,BLOCK SHAFT N.C,M50,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381019795,3011230200,,LA,MAGNET HOLDER N.C,M50,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381020215,3011230300,,LA,WATER CONNECTOR PART N.C,M49,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381035651,3011231000,,LA,GEAR WHEEL BLACK  PIN,M50,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381029996,3011250400,,LA,SLIDER LEVER BLUE  S2 WIK416,M50,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381038056,3011251100,,LA,DU DISC UPPER BLACK PBT S2,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381030084,3011251201,,LA,DU AXIS BLACK PBT S2,M49,528.000,0.000,0.000,,09/14/2022,09/15/2022,
,381038265,3011251301,,LA,DU WASHER BLACK PBT S2,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381011515,3011256900,,LA,HEAD HSG FRONT GLOSSY WHITE WIK392,M50,"2,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381020638,3011257700,,LA,HMI COVER BACK RAL9005 BLACK,M50,"2,220.000",0.000,0.000,,09/14/2022,09/15/2022,
,381030649,3011257800,,LA,VALVE TILT PART RAL9005 BLACK,M50,"11,082.000",0.000,0.000,,09/14/2022,09/15/2022,
,381011767,3011257900,,LA,CAPSULE HOLDER MAIN PART RAL9005 BK,M49,"11,082.000",0.000,0.000,,09/14/2022,09/15/2022,
,381021010,3011258100,,LA,DRIP GRID BLACK RAL 9005,M50,267.000,0.000,0.000,,09/14/2022,09/15/2022,
,381021253,3011259700,,LA,HMI COVER FRONT PIANO BLACK WIK329,M50,"1,935.000",0.000,0.000,,09/14/2022,09/15/2022,
,381012587,3011260400,,LA,HMI COVER BACK NCS S 1580-Y90R RED,M50,"2,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381012781,3011276000,,LA,VALVE TOP N.C,M50,"4,280.000",0.000,0.000,,09/14/2022,09/15/2022,
,381031062,3011352901,,LA,F-CONNECTOR N.C.,M49,"8,700.000",0.000,0.000,,09/14/2022,09/15/2022,
,381039040,3011354300,,LA,PUMP OUTLET FOR D/U PUMP N.C,M49,"8,700.000",0.000,0.000,,09/14/2022,09/15/2022,
,381038470,3011368500,,LA,NOZZLE HOLDER BLACK,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381038677,3011368600,,LA,L-CONNECTOR TAMA,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381031488,3011394100,,LA,FILTER N.C.,M49,"4,280.000",0.000,0.000,,09/14/2022,09/15/2022,
,381021580,3011404100,,LA,HSG BACK V2 BLACK NCS S 9000-N IND.E,M50,"1,236.000",0.000,0.000,,09/14/2022,09/15/2022,
,381035859,3011404200,,LA,HSG BOTTOM BLACK NCS S 9000-N,M50,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381031741,3011404400,,LA,DOUBLE CONNECTOR 90,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381036067,3011404800,,LA,SLIDER BLACK PA66 W/O GF,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381031836,3011405100,,LA,SHIGA PROTECTOR WIK 417,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381031944,3011405300,,LA,VALVE LOWER LEVER,M50,"1,236.000",0.000,0.000,,09/14/2022,09/15/2022,
,381032035,3011405400,,LA,VALVE UPPER LEVER,M50,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381032147,3011405500,,LA,Frame support valve,M50,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381036278,3011406300,,LA,HSG CAP TRANSPARENT,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381032246,3011406700,,LA,Coffee Box Top SHIGA TRANSPARENT,M49,528.000,0.000,0.000,,09/14/2022,09/15/2022,
,381032351,3011406800,,LA,Coffee Box Bottom SHIGA TRANSPARENT,M49,528.000,0.000,0.000,,09/14/2022,09/15/2022,
,381032553,3011407100,,LA,WATER TANK BACK TRANSPARENT,M49,528.000,0.000,0.000,,09/14/2022,09/15/2022,
,381032649,3011407200,,LA,WATER TANK FRONT TRANSPARENT,M49,528.000,0.000,0.000,,09/14/2022,09/15/2022,
,381032758,3011407500,,LA,MIX CHAMBER GRIP SHIGA BLACK,M49,528.000,0.000,0.000,,09/14/2022,09/15/2022,
,381032960,3011410200,,LA,DU HSG PBT SHIGA WHITE,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381036522,3011411101,,LA,NEW RINSING TOOL N.C,M50,"8,700.000",0.000,0.000,,09/14/2022,09/15/2022,
,381039441,3011414800,,LA,SEALING SUPPORT NATURAL PP,M49,"19,802.000",0.000,0.000,,09/14/2022,09/15/2022,
,381033189,3011415500,,LA,TANK OUTSIDE TRANSPARENT N.C NAS21,M49,"11,082.000",0.000,0.000,,09/14/2022,09/15/2022,
,381021809,3011415600,,LA,TANK INSIDE TRANSPARENT N.C NAS21,M49,"11,082.000",0.000,0.000,,09/14/2022,09/15/2022,
,381033574,3011423400,,LA,DU DISC LOWER Green PBT SHIGA Pelletize,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381033674,3011427000,,LA,Drip grid black Shiga,M50,528.000,0.000,0.000,,09/14/2022,09/15/2022,
,381022251,3011517303,,LA,Back Housing ECR L,M50,"4,280.000",0.000,0.000,,09/14/2022,09/15/2022,
,381033926,3011521300,,LA,THERMOBLOCK SUPPORT NCS S 9000-N,M50,"4,923.000",0.000,0.000,,09/14/2022,09/15/2022,
,381013273,3011521400,,LA,CHASSIS BLACK GRIVORY,M50,"4,281.000",0.000,0.000,,09/14/2022,09/15/2022,
,381013579,3011521500,,LA,ROCKER LEVER V2 BLACK 9205,M50,"4,280.000",0.000,0.000,,09/14/2022,09/15/2022,
,381022546,3011521700,,LA,VALVE TILT BLACK,M50,"8,808.000",0.000,0.000,,09/14/2022,09/15/2022,
,381022825,3011521800,,LA,CLAMP HANDLE BLACK RAL 9005,M50,"2,163.000",0.000,0.000,,09/14/2022,09/15/2022,
,381014118,3011522000,,LA,Tank lid TRANSPARENT,M49,"4,280.000",0.000,0.000,,09/14/2022,09/15/2022,
,381014668,3011553200,,LA,Thermoblock pillar 9781 ARIEL,M50,"4,280.000",0.000,0.000,,09/14/2022,09/15/2022,
,381024822,3011645900,,LA,CLAMP PLATE BLACK V3 SOLVAY 1150L,M50,"4,551.000",0.000,0.000,,09/14/2022,09/15/2022,
,381025239,3011646000,,LA,LEVER TOP BLACK SOLVAY 1150L,M50,"8,961.000",0.000,0.000,,09/14/2022,09/15/2022,
,381016443,3011646300,,LA,LEVER BOTTOM BLACK SOLVAY FC1150L,M50,"17,922.000",0.000,0.000,,09/14/2022,09/15/2022,
,381016880,3011646400,,LA,ROCKER LEVER BLACK SOLVAY 1150L,M50,"4,551.000",0.000,0.000,,09/14/2022,09/15/2022,
,381025687,3011650000,,LA,CLAMP PLATE BLACK 9781 FC1150L,M50,"4,281.000",0.000,0.000,,09/14/2022,09/15/2022,
,381025836,3011659400,,LA,HSG DRAWER VDI 3400 REF.24 (CHIMEI),M49,534.000,0.000,0.000,,09/14/2022,09/15/2022,
,381036898,3011659500,,LA,WATER TANK COVER CHIMEI,M49,528.000,0.000,0.000,,09/14/2022,09/15/2022,
,381017130,3011669400,,LA,CAPSULE HOLDER 9781 GRILON,M49,"26,667.000",0.000,0.000,,09/14/2022,09/15/2022,
,381017494,3011675500,,LA,9781 Light Guide A Transparent SMMA NAS2,M50,"4,409.000",0.000,0.000,,09/14/2022,09/15/2022,
,381001842,7070223900,,VP,9770KRUPS WE230V GREY&BLK(KP123B10)LIGHT,M47,"2,220.000",0.000,0.000,,09/14/2022,09/15/2022,
,381001645,7070276100,,VP,9781 DL EU 230V BLACK&NESC RED EDG210.B,M47,"2,140.000",0.000,0.000,,09/14/2022,09/15/2022,
,381002077,7070296300,,VP,9781 KRUPS WE 230V BLACK&ANTH KP1A3B10,M47,"2,140.000",0.000,0.000,,09/14/2022,09/15/2022,
,381002454,7070296500,,VP,9781 DL UK 230V WHITE&BLACK EDG110.WB,M47,"1,150.000",0.000,0.000,,09/14/2022,09/15/2022,
,381001058,7070298300,,VP,9781 DL EU 230V WHITE&BLACK EDG110.WB,M47,989.000,0.000,0.000,,09/14/2022,09/15/2022,
,381017771,8090704103,,LA,MASTER CTN LABEL WEU KP123B10 BATAM,M47,"1,110.000",0.000,0.000,,09/14/2022,09/15/2022,
,381026115,8090816402,,LA,MSTR CTN LBL DL EDG210.W UKCA 56132C0431,M47,296.000,0.000,0.000,,09/14/2022,09/15/2022,
,381018110,8090851100,,LA,MASTER CTN LBL KRUPS WE KP1A3B10,M47,"1,070.000",0.000,0.000,,09/14/2022,09/14/2022,
,381004903,9110245401,,LA,ASS'Y FLOWMETER,M49,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381006411,9110245600,,LA,ASS'Y WATER TANK,M49,"4,420.000",0.000,0.000,,09/14/2022,09/15/2022,
,381006668,9110256500,,LA,ASS'Y CAPSULE HOLDER ARCTIC GREY,M49,"2,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381006915,9110261400,,LA,ASS'Y CAPSULE HOLDER RAL9005 BK,M49,"2,220.000",0.000,0.000,,09/14/2022,09/15/2022,
,381008074,9110375600,,LA,ASSY DRIP TRAY SHIGA,M50,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381008265,9110375700,,LA,ASSY COFFEE BOX SHIGA,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381008464,9110375900,,LA,ASSY WATER TANK Shiga 0.8L,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381034064,9110377800,,LA,BACK PRESSURE VALVE ASSY SHIGA,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381003618,9110481900,,LA,9770 ASS'Y THERMOBLOCK 230V 1400W,M47,"2,220.000",0.000,0.000,,09/14/2022,09/14/2022,
,381005815,9110486800,,LA,ASS'Y THERMOBLOCK 230V,M47,"6,419.000",0.000,0.000,,09/14/2022,09/14/2022,
,381006126,9110487100,,LA,ASS'Y HEAD 9781 BATAM,M47,"6,419.000",0.000,0.000,,09/14/2022,09/14/2022,
,381007624,9110487500,,LA,ASS'Y WATER TANK ARIEL,M49,"4,280.000",0.000,0.000,,09/14/2022,09/15/2022,
,381009329,9110514600,,LA,Assy. Mixing Chamber Grip and V2,M49,"1,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381004020,9110574700,,LA,9770 ASS'Y HEAD W VLV TILT BLK CEN WEU,M47,"2,220.000",0.000,0.000,,09/14/2022,09/14/2022,
,381009671,9110592900,,LA,PULP TRAY TOP & BOTTOM SET JOY,M47,"2,140.000",0.000,0.000,,09/14/2022,09/15/2022,
,381010361,9110599600,,LA,PULP TRAY TOP & BOTTOM SET RIO,M47,"2,140.000",0.000,0.000,,09/14/2022,09/15/2022,
,381011044,9110600000,,LA,PULP TRAY TOP*BOTTOM  9770 LIGHT SET PRO,M47,"2,708.000",0.000,0.000,,09/14/2022,09/15/2022,
,381012048,9170439400,,LA,VALVE TILT PART PRINTED,M49,"2,200.000",0.000,0.000,,09/14/2022,09/15/2022,
,381012267,9170447501,,LA,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"2,220.000",0.000,0.000,,09/14/2022,09/15/2022,
,381026678,9170447700,,LA,VALVE TILT PART RAL9005 PRINTED,M49,"2,220.000",0.000,0.000,,09/14/2022,09/15/2022,
